index,Unnamed: 0,platform,title,description,keywords,htext,params,wiki,alltext,jscheck,docscheck,blogscheck,commcheck,category
941,941,ahmedtarek2134.github.io,Site not found · GitHub Pages, , ,'There isn''t a GitHub Pages site here. 404 ',/grid.css,"GitHub is a web-based Git or version control repository and Internet hosting service. It is mostly used for code. It offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.",  css found github site pages grid,0,0,0,0,NEWS
943,943,stackoverflow.com,"Stack Overflow - Where Developers Learn, Share, & Build Careers",Stack Overflow | The World’s Largest Online Community for Developers, ,"Each month, over 50 million developers come to Stack Overflow to learn, share their knowledge, and build their careers. Learn, Share, Build Looking for more? Browse the complete list of questions, or popular tags. Help us answer unanswered questions. ","/questions/11718457/bootstrap-spans,/questions/22775892/how-to-add-image-that-is-on-my-computer-to-a-site-in-css-or-html,/questions/15357846/how-to-force-a-line-break-on-a-javascript-concatenated-string,/questions/14222138/css-progress-circle,/questions/18700334/why-would-one-want-to-use-express-instead-of-angularjs,/questions/5943630/basic-example-of-using-ajax-with-jsonp,/questions/19489976/cross-domain-ajax-request-to-a-json-file-using-jsonp,/questions/7585561/how-to-do-not-apply-css-on-a-specific-tag,/questions/19839952/all-falsey-values-in-javascript,/questions/2610497/change-an-html5-inputs-placeholder-color-with-css,/questions/8498579/how-jquery-works-when-there-are-multiple-elements-with-the-same-id,/questions/39176570/bootstrap-carousel-change-of-slides-triggers-unwanted-mouseout,/questions/13840143/jquery-check-if-special-characters-exists-in-string,/questions/10787985/css-class-not-applying-styling-but-id-is-applying-styling,/questions/11679567/using-css-for-fade-in-effect-on-page-load,/questions/39609516/make-radio-buttons-ripple-effect-work-with-js,/questions/19865158/what-is-the-difference-among-col-lg-col-md-and-col-sm-in-bootstrap,/questions/3225891/what-does-the-greater-than-sign-css-selector-mean,/questions/10852652/difference-between-datatype-jsonp-and-json,/questions/4162749/convert-js-object-to-json-string,/questions/20671303/bootstrap-3-changing-div-order-on-small-screens-only,/questions/12804419/css-text-decoration-underline-color,/questions/15347750/getjson-and-for-loop-issue,/questions/921789/how-to-loop-through-plain-javascript-object-with-objects-as-members,/questions/5767325/remove-a-particular-element-from-an-array-in-javascript,/questions/16132905/string-conversion-in-javascript-decimal-to-binary,/questions/14676613/how-to-import-google-web-font-in-css-file,/questions/9421966/how-do-i-center-the-twitter-bootstrap-tabs-on-the-page,/questions/19741145/bootstrap-navbar-fixed-top-covers-content,/questions/18462808/responsive-image-align-center-bootstrap-3/20396826,/questions/730916/whats-the-difference-between-jquerys-replacewith-and-html,/questions/3203252/unicode-character-as-bullet-for-list-item-in-css,/questions/28197378/html5-canvas-javascript-smudge-brush-tool,/questions/18153234/center-a-column-using-twitter-bootstrap-3,/questions/14511045/twitter-bootstrap-scrollspy-not-working-at-all,/questions/24539197/bootstrap-3-align-text-to-bottom-of-div,/questions/19706046/how-to-read-an-external-local-json-file-in-javascript,/questions/5657964/css-why-doesn-t-percentage-height-work,/questions/6303964/javascript-open-a-given-url-in-a-new-tab-by-clicking-a-button,/questions/2926227/how-to-do-jquery-code-after-page-loading,/questions/9991523/hide-div-after-css3-animation,/questions/10732690/offsetting-an-html-anchor-to-adjust-for-fixed-header,/questions/43253526/fcc-local-weather-app-json-information-not-displaying-info-from-the-openweat,/questions/11736431/make-cross-domain-ajax-jsonp-request-with-jquery,/questions/16443380/common-css-media-queries-break-points,/questions/8865458/how-to-vertically-center-text-with-css,/questions/6393827/can-i-nest-a-button-element-inside-an-a-using-html5,/questions/36388651/in-a-responsive-website-using-bootstrap-how-to-center-an-anchor-tag-containin,/questions/37931312/rendering-highcharts-in-angularjs-from-json-object,/questions/4898574/converting-24-hour-time-to-12-hour-time-w-am-pm-using-javascript,/questions/1061580/jquery-click-on-anchor-element-forces-scroll-to-top,/questions/39680392/unexpected-behavior-in-div-alignment-in-bootstrap-grid-layout,/questions/8752557/proper-css-to-style-nested-element,/questions/42127621/jquery-expandable-menu-push-body-down,/questions/15986216/how-can-i-add-a-large-faded-text-background-via-css,/questions/9268259/how-do-you-prevent-install-of-devdependencies-npm-modules-for-node-js-package,/questions/22561671/bootstrap-3-display-text-and-an-image-in-the-same-row,/questions/35699577/send-random-quote-with-tweet-button-click-in-jquery,/questions/3706819/what-are-the-implications-of-using-important-in-css,/questions/1725759/css-how-to-center-box-div-element-directly-in-center,/questions/22266935/bootstrap-image-fit-to-screen,/questions/1039827/when-to-use-ul-or-ol-in-html,/questions/37532655/why-is-node-js-v4-4-5-recommended-over-v6-2-0-for-most-users,/questions/35835362/what-does-dollar-sign-and-curly-braces-mean-in-a-string-in-javascript,/questions/13637127/inline-style-vs-jquery-css,/questions/10126310/does-javascript-have-a-standard-for-commenting-functions,/questions/20864893/javascript-replace-all-non-alpha-numeric-characters-new-lines-and-multiple-whi,/questions/16349490/html-css-buttons-that-scroll-down-to-different-div-sections-on-a-webpage,/questions/40452927/how-do-i-use-a-defualt-theme-in-html-and-css,/questions/135448/how-do-i-check-if-an-object-has-a-property-in-javascript,/questions/37412225/jquery-trying-to-getjson-from-a-json-file-does-not-work,/questions/5641997/is-it-necessary-to-write-head-body-and-html-tags,/questions/20908101/jquery-selectors-use-of-document-body-and-quotes-inconsistent,/questions/8121847/can-you-apply-css-rules-in-css-if-a-div-doesnt-exist,/questions/11535392/how-to-decrease-image-brightness-in-css,/questions/30365057/why-is-my-bootstrap-navbar-not-displaing-inline,/questions/18462808/responsive-image-align-center-bootstrap-3,/questions/30277750/unable-to-center-ul-inside-of-navbar-with-bootstrap,/questions/5004233/jquery-ajax-post-example-with-php,/questions/8902787/navigate-through-list-using-arrow-keys-javascript-jq,/questions/32438792/creating-facebook-like-button-using-bootstrap,/questions/5662735/stretch-background-image-css,/questions/13233878/make-hover-on-liitem-li-change-text-colour-too-css-trick,/questions/1458633/how-to-deal-with-floating-point-number-precision-in-javascript,/questions/16250119/bootstrap-responsive-background-image,/questions/19758967/twitter-bootstrap-3-how-to-center-a-block,/questions/9873468/can-i-change-the-opacity-of-the-navbar-in-twitter-bootstrap,/questions/34289815/how-to-make-an-image-responsive-using-bootstrap-without-having-it-take-up-the-en,/questions/30676245/bootstrap-alert-dismiss-on-click,/questions/8839753/how-do-i-reformat-html-code-using-sublime-text-2,/questions/22581345/click-button-copy-to-clipboard-using-jquery,/questions/275931/how-do-you-make-an-element-flash-in-jquery,/questions/7948333/css-position-text-in-the-middle-of-the-page,/questions/14227531/different-css-for-each-browser,/questions/3558119/are-self-closing-tags-valid-in-html5,/questions/17637846/how-do-i-add-a-css-line-only-for-safari,/questions/437333/how-to-vertically-align-a-table-in-css,/questions/29660034/nesting-a-container-class-inside-a-container-fluid-class-in-bootstrap-3,/questions/17219757/how-to-place-text-and-an-image-next-to-each-other-in-html,/questions/12889362/difference-between-id-and-class-in-css-and-when-to-use-it,/questions/15729334/how-to-trigger-a-link-with-jquery-without-refreshing-the-page,/questions/32864415/how-can-i-increase-the-size-of-a-bootstrap-button,/questions/26770164/toggle-button-collapse-not-working-in-bootstrap-navbar,/questions/6822821/jquery-nth-child-selector-not-working,/questions/436411/where-is-the-best-place-to-put-script-tags-in-html-markup,/questions/19041733/bootstrap-3-gutter-size,/questions/20333250/does-nth-mean-anything-in-css,/questions/11577712/hr-tag-in-twitter-bootstrap-not-functioning-correctly,/questions/23379318/have-thumbnails-with-different-images-sizes-bootstrap,/questions/3387827/how-to-call-browser-based-css,/questions/1026069/how-do-i-make-the-first-letter-of-a-string-uppercase-in-javascript,/questions/18867599/jquery-inarray-how-to-use-it-right,/questions/25228056/responsive-iframe-using-bootstrap,/questions/523643/difference-between-and-in-javascript,/questions/4354921/css-is-there-a-limit-on-how-many-classes-an-html-element-can-have,/questions/15079013/play-a-javascript-sound-file-without-a-delay,/questions/7760662/how-to-send-tweet-to-twitter-with-jquery-inside-my-site,/questions/43961719/how-to-open-popup-menu-when-select-text-in-bootstrap,/questions/16470412/how-to-make-arc-shapes-with-css3,/questions/38045560/animate-css-shake-effect-not-working-every-time,/questions/43694206/nodejs-koa-form-in-pug-gives-undefined,/questions/38251191/bootstrap-4-center-block-unable-to-center,/questions/31176592/css-how-to-scale-an-img-to-cover-entire-parent-div,/questions/34931771/how-to-load-google-maps-api-asynchronously-in-angular2,/questions/32836456/updating-data-text-dynamically-for-twitter-button-in-javascript,/questions/2830296/using-style-tags-in-the-body-with-other-html,/questions/24500222/using-display-with-css3-animations-how-to-hide-unhide-elements-during-after-ani,/questions/4086107/html-positionfixed-page-header-and-in-page-anchors,/questions/39662113/jquery-validation-error-message-appears-when-valid,/questions/10659070/styling-twitter-bootstrap-buttons,/questions/21495243/available-text-color-classes-in-bootstrap,/questions/1527803/generating-random-whole-numbers-in-javascript-in-a-specific-range,/questions/4189868/what-does-media-screen-and-max-width-1024px-mean-in-css,/questions/30039512/how-to-view-my-html-code-in-browser-with-visual-studio-code,/questions/30359781/bootstrap-3-grid-breaking-with-responsive-images-of-not-the-same-height,/questions/1397592/difference-between-id-and-name-attributes-in-html,/questions/27986391/keep-text-from-wrapping-in-bootstrap-3-responsive-design,/questions/18439849/values-in-css-makes-image-disappear,/questions/23430918/javascript-smooth-scroll-not-working,/questions/11939595/leaving-out-the-last-semicolon-of-a-css-block,/questions/28207087/errors-and-unknown-classes-from-bootstrap-cdn,/questions/11828476/website-on-css-doesnt-work-on-internet-explorer,/questions/18864657/icon-bar-in-twitter-bootstrap-navigation-bar,/questions/14537611/bootstrap-responsive-text-size,/questions/35622027/img-responsive-in-bootstrap-does-not-work,/questions/2655925/how-to-apply-important-using-css,/questions/1964297/split-div-into-2-columns-using-css,/questions/9184141/how-do-you-get-centered-content-using-twitter-bootstrap,/questions/17635866/get-values-from-an-object-in-javascript,/questions/18424798/twitter-bootstrap-3-how-to-use-media-queries,/questions/38931678/passing-xml-date-in-table-layout-using-ajax-and-javascript,/questions/10879955/how-to-align-an-image-dead-center-with-bootstrap,/questions/356759/a-mnemonic-for-the-order-of-css-margin-and-padding-shorthand-properties,/questions/20568473/how-to-put-navbar-brand-to-right-side-in-twitter-bootstrap,/questions/4373046/css-control-space-between-bullet-and-li,/questions/15090782/youtube-autoplay-not-working-on-mobile-devices-with-embedded-html5-player,/questions/6677035/jquery-scroll-to-element,/questions/28452235/make-a-nav-bar-stick-to-the-top-when-scrolling-with-css,/questions/39077410/how-to-make-a-search-with-jquery-and-the-wikipedia-api,/questions/20005278/twitter-bootstrap-3-vertically-center-content,/questions/20721248/best-way-to-override-bootstrap-css,/questions/11962837/how-do-i-dynamically-adjust-css-stylesheet-based-on-browser-width,/questions/39803874/convert-txt-file-to-json,/questions/512054/setting-background-image-using-jquery-css-property,/questions/17366432/multiple-classes-on-single-element-html,/questions/5767325/how-to-remove-a-particular-element-from-an-array-in-javascript,/questions/9939760/how-do-i-convert-an-integer-to-binary-in-javascript,/questions/8878033/how-to-make-twitter-bootstrap-menu-dropdown-on-hover-rather-than-click,/questions/11918491/using-two-css-classes-on-one-element,/questions/43000352/is-there-any-eclipse-plugin-available-for-react-js/43026092,/questions/30142361/react-js-uncaught-typeerror-this-props-data-map-is-not-a-function,/questions/16217355/automatically-resize-images-with-browser-size-using-css,/questions/17531929/hide-svg-object-jquery,/questions/6315772/how-to-import-include-a-css-file-using-php-code-and-not-html-code,/questions/11922383/access-process-nested-objects-arrays-or-json,/questions/20557610/jumbotron-wells-in-twitter-bootstrap,/questions/791231/css-sidebar-height-100,/questions/31352397/how-to-update-view-after-change-in-angular2-after-google-event-listener-fired,/questions/3229823/how-can-i-pass-request-headers-with-jquerys-getjson-method,/questions/7381150/how-to-send-an-email-from-javascript,/questions/28946179/cant-set-cors-using-sails-js-for-google-maps-geo-location,/questions/39178332/how-do-i-access-content-earlier-added-by-before-selector-using-jquery,/questions/618097/how-do-you-easily-horizontally-center-a-div-using-css,/questions/19356687/background-colour-change-bootstrap,/questions/15113537/the-data-toggle-attributes-in-twitter-bootstrap,/questions/27000681/how-to-verify-form-input-using-html5-input-verification/27000682,/questions/16402390/bootstrap-control-with-multiple-data-toggle,/questions/8414786/javascript-cross-domain-call-call-from-http-to-https,/questions/3839966/can-anyone-explain-what-jsonp-is-in-layman-terms,/questions/24375757/html-css-how-to-make-web-page-stay-put-when-resizing-browser-window,/questions/24632076/how-to-use-social-glyphicons-in-bootstrap-implemented-web-page,/questions/7049952/what-are-the-default-margins-for-the-html-heading-tags-h1-h2-h3-etc,/questions/7470268/html-input-name-vs-id,/questions/22196587/how-to-center-align-vertically-the-container-in-bootstrap,/questions/37063181/mongodb-in-nodejs-find-method-calls-once,/questions/10620052/how-can-i-have-multiple-onclick-events-linked-to-one-element-in-html-and-can-i,/questions/6479236/calculate-string-value-in-javascript-not-using-eval,/questions/42911734/how-to-close-bootstrap-warning-alert-on-mouse-click,/questions/7165570/is-clear-a-reserved-word-in-javascript,/questions/7516005/how-to-make-a-bullet-list-align-with-text-in-css,/questions/7775594/css-list-style-image-size,/questions/7131925/how-to-enable-and-disable-javascript-functions,/questions/40983936/how-to-use-html-css-to-show-images-and-titles-inline,/questions/2906582/how-to-create-an-html-button-that-acts-like-a-link,/questions/20914711/bootstrap-3-jumbotron-background-image-effect,/questions/17542147/is-it-possible-to-learn-node-js-without-knowing-javascript,/questions/4944387/go-to-link-on-button-click-jquery,/questions/9189810/css-display-inline-vs-inline-block,/questions/18449918/100-width-twitter-bootstrap-3-template,/questions/20036969/social-buttons-using-twitter-bootstrap-3,/questions/18777235/center-content-in-responsive-bootstrap-navbar,/questions/21354397/escape-sequences-in-javascript-not-working,/questions/19179424/how-to-wrap-text-around-an-image-using-html-css,/questions/14804941/how-to-add-smooth-scrolling-to-bootstraps-scroll-spy-function,/questions/17631417/css-pure-css-scroll-animation,/questions/14735274/bootstrap-css-hides-portion-of-container-below-navbar-navbar-fixed-top,/questions/17982111/sass-variable-in-css-calc-function,/questions/37548489/bootstrap-img-responsive-vs-img-fluid,/questions/4959975/generate-random-number-between-two-numbers-in-javascript,/questions/1294850/set-colspan-dynamically-with-jquery,/questions/8677805/formatting-numbers-decimal-places-thousands-separators-etc-with-css,/questions/8708945/how-to-position-text-over-an-image-in-css,/questions/41974423/improvement-of-js-regex-to-restrict-all-letters-of-a-word-in-a-specific-range,/questions/22283241/how-to-view-html-output-in-notepad,/questions/19838865/jquery-how-to-add-class-to-all-divs-on-page-except-current-one,/questions/10088706/twitter-bootstrap-how-to-center-elements-horizontally-or-vertically,/questions/5765398/whats-the-best-way-to-convert-a-number-to-a-string-in-javascript,/questions/1910794/what-is-the-difference-between-jquery-text-and-html,/questions/27180263/bootstrap-grid-not-working-for-the-small-screen-wide-768px,/questions/10336194/twitter-bootstrap-top-nav-bar-blocking-top-content-of-the-page,/questions/1834642/why-should-i-use-a-semicolon-after-every-function-in-javascript,/questions/245062/whats-the-difference-between-javascript-and-java,/questions/23737776/how-to-color-specific-word-in-a-container-using-css,/questions/16348489/is-there-a-css-hack-for-safari-only-not-chrome,/questions/12742595/show-how-many-characters-remaining-in-a-html-text-box-using-javascript,/questions/251402/create-an-empty-object-in-javascript-with-or-new-object,/questions/2189452/when-to-use-margin-vs-padding-in-css,/questions/17529984/bootstrap-image-full-width-of-span,/questions/24816/escaping-html-strings-with-jquery,/questions/15071062/using-javascript-to-edit-css-gradient,/questions/19414856/how-can-i-make-all-images-of-different-height-and-width-the-same-via-css,/questions/13009755/getjson-synchronous,/questions/17788990/access-the-css-after-selector-with-jquery,/questions/12829608/bootstrap-text-align-class","'Stack Overflow is a privately held website, the flagship site of the Stack Exchange Network, created in 2008 by Jeff Atwood and Joel Spolsky. It was created to be a more open alternative to earlier question and answer sites such as Experts-Exchange. The name for the website was chosen by voting in April 2008 by readers of Coding Horror, Atwood''s popular programming blog.'",  gutter array careers different sass heading converting month click nesting acts import difference enable api nav largest rules write thousands displaying padding column multiple stay stack message appears formatting asynchronously function en easily site php points numbers nth override dismiss h2 effect shorthand calc package margins smooth go wrap bootstrap prevent based queries single calculate style colour many player window eclipse deal share url put would tab devdependencies passing display headers height spans range theme small clear row bar animations reformat decrease fired div behavior center scroll faded take fluid automatically notepad brightness entire java last process proper geo link disable horizontally wikipedia datatype events inputs falsey push objects anchors word valid buttons selectors css greater shapes size defualt order pure alert carousel screen refreshing margin via info character integer floating container content scrolling rendering mobile embedded hide selector express screens example slides thumbnails attributes loading working world form braces hour modules v4 using brush hover want one around template inconsistent object lg fixed help props menu align like popular concatenated id improvement grid typeerror full remove arc access portion two cors triggers uncaught titles errors navbar lines document centered non event browse circle reserved line span values trigger works verify design fade arrow navigation cover nested users plain browser edit every css3 break top create spy point data sidebar close blocking collapse show separators anything correctly side forces flash unhide maps http images developers bullet makes angular2 basic value jumbotron styling code external tag send tool load commenting radio escape adjust creating sound devices cross split directly header increase liitem arrays expandable body mouseout youtube vs inline internet jquery gives questions parent opacity search jsonp web app unexpected us sections email precision stylesheet layman js columns variable containin stick stretch tags v6 onclick force webpage table vertically keep gradient convert progress post unknown resizing sublime jquerys mouse open read color width string curly unwanted img plugin alignment domain wells weather pass icon media website elements dynamically html5 exist terms explorer li among displaing file svg quote particular html necessary scale escaping whole select include keys studio letter uppercase set complete input closing implemented output time members binary anyone million remaining strings replacewith ul w overflow answer numeric google tabs offsetting number shake sm generating sizes middle sails ani javascript npm regex current alpha conversion instead etc pug rather react brand fit standard delay error important https node possible first calls added positionfixed disappear looking hides pm classes without issue mongodb resize community anchor map make chrome learn inarray work button property highcharts popup sequences recommended hack large clicking iframe canvas col item verification text restrict xml default characters computer available nodejs get wide facebook block given koa openweat letters change new undefined background random element class md unable find head common install specific quotes tweet trick unanswered add special bottom build update next call fcc toggle copy markup h3 exists loop linked replace animation eval synchronous whats breaking animate validation mnemonic bootstraps decimal nest mean social unicode visual explain box semicolon date come control percentage colspan use applying dollar getjson covers script max safari smudge location page position leaving doesnt limit autoplay glyphicons hr list image self whi ol scrollspy view space dead cdn warning empty online method knowledge play setting sign name navigate functions knowing child check changing underline ajax twitter layout updating best places dropdown json properties txt request except trying wrapping jq divs responsive place generate listener font implications earlier apply h1 placeholder local functioning way angularjs right clipboard decoration inside ripple information,0,0,0,0,COMMUITY
945,945,www.ostraining.com,"Web Design Training: WordPress, Drupal, Joomla, HTML, CSS, PHP, SEO","'You can build great websites, OSTraining can help. Watch 1000''s of web design videos, download books and get support from development experts.'", ,The Beginners Guide to Drupal 8 Join the OSTraining Video ClubEnjoy a vast library of CMS and eCommerce videos ,/blog/coding/bootstrap/,,  joomla coding drupal videos guide wordpress vast css bootstrap library great books design experts ecommerce development watch join help support html training build websites beginners clubenjoy get seo video ostraining download blog cms php web,0,0,0,0,TRAINING
946,946,www.textfixer.com, , , , ,/html/compress-html-compression.php,,  compress compression html php,0,0,0,0,REPL
949,949,thewebivore.com,403 Forbidden, , ,403 Forbidden ,/super-simple-environment-variables-node-js/,,  super forbidden environment simple js variables node,0,0,0,0,NEWS
950,950,www.jquery-tutorial.net, , , , ,"/introduction/method-chaining/,/introduction/what-is-jquery/",,  method jquery chaining introduction,0,0,0,0,TRAINING
951,951,javascriptisnotjava.io, , , , ,",/",, ,0,0,0,0,NEWS
952,952,softwareengineering.stackexchange.com,Software Engineering Stack Exchange,"Q&A for professionals, academics, and students working within the systems development life cycle", ,Explore Our Questions ,/questions/179537/should-i-write-html-or-css-first,,  working systems css first academics exchange software development write professionals within engineering html stack cycle life q questions explore students,0,0,0,0,COMMUITY
954,954,www.adityaravishankar.com,Aditya Ravi Shankar | Journey to Perfection,"Welcome to Aditya Ravi Shankar .com. I created this site so I could share moments from my own journey. I have always been driven towards finding faster, simpler, and more efficient ways of learning and achieving anything in life. Each of the articles on this site is an AHA!! moment in my life or", ,Welcome to Aditya Ravi Shankar .com Aditya Ravi Shankar Journey to Perfection ,/pro-html5-games/,,  towards efficient moment html5 ravi created could journey shankar articles pro moments com perfection games driven welcome aha share finding simpler always life faster anything aditya site learning ways achieving,0,0,0,0,NEWS
957,957,multi-level-push-menu.make.rs, , , , ,/demo/basichtml/basichtml.html,,  basichtml html demo,0,0,0,0,PACKAGE
958,958,carlsapty.com, , , , ,/html-vids/index.html,,  index html vids,0,0,0,0,TRAINING
960,960,netdna.bootstrapcdn, , , , ,,, ,0,0,0,0,PACKAGE
961,961,www.hackschool.disasterhack.org, , , , ,/en/challenges/basic-javascript/shopping-list,,  challenges shopping basic en javascript list,0,0,0,0,TRAINING
963,963,www.webbykat.com, , , , ,/2013/01/styling-every-nth-element-css3-jquery-and-grid-view-templates,,  jquery view every css3 styling grid element templates nth,0,0,0,0,PACKAGE
964,964,cssdeck.com, , , , ,"/labs,/labs/96olnwvi,/labs/pure-css-tooltip-v2/",,  labs v2 pure css tooltip,0,0,0,0,THEME
968,968,cdn.optimizely.com, , , , ,/js/999692993.js,"'Optimizely is an American company that makes customer experience optimization software for other companies. The Optimizely platform technology provides A/B testing tools, in which two versions of a web page can be compared for performance, and multivariate testing. Optimizely also enables personalization, which may be used for making data-driven decisions. The personalization capability can be used for serving online advertising. Optimizely''s experimentation platform is called Optimizely X, with tools for web experimentation, personalization, recommendations, mobile, full stack and over-the-top content. The optimization is delivered in a software as a service (SaaS) model. The company''s headquarters is in San Francisco, California with offices in Amsterdam, Netherlands, Cologne, Germany, and London, United Kingdom.'",  js,0,0,0,0,PACKAGE
971,971,blog.creative-tim.com,Coming Soon, , ,"'If you''re the site owner, log in to launch this site Future home of something quite cool. '",/web-design/use-not-use-bootstrap-framework/,,  launch coming bootstrap design use quite home framework soon log web owner future site cool something,0,0,1,0,NEWS
972,972,www.webpagefx.com,"WebpageFX™: SEO Company Results: $892,123,714 for clients", , ,888-601-5359 Results Driven Internet Marketing™ ,/web-design/html-ipsum/,,  company html driven clients internet marketing design results ipsum seo webpagefx web,0,0,0,0,BUSINESS
973,973,my-html-codes.com, , , , ,/HTML5_tutorials/Dino_pairs2/index.html,,  html dino html5 index pairs2 tutorials,0,0,0,0,NEWS
974,974,hastebin.com,hastebin, , , ,"/dasesulica.css,/rizicucoja.css",,  dasesulica rizicucoja hastebin css,0,0,0,0,REPL
975,975,www.jsweet.org, , , , ,/get-started-with-react-js-in-java/,,  started react java get js,0,0,0,0,REPL
977,977,apress.jensimmons.com, , , , ,/v5/pro-html5-programming/ch12.html,,  pro html programming html5 v5 ch12,0,0,0,0,NOCLASS
978,978,www.epconcommunities.com, , , , ,/assets/upload/youdontknowjsupandgoing.pdf,,  pdf assets upload youdontknowjsupandgoing,0,0,0,0,NOCLASS
980,980,www.javascriptfreecode.com, , , , ,/5.htm,,  htm,0,0,0,0,THEME
981,981,wernull.com, , , , ,/2013/04/debug-ghost-css-elements-causing-unwanted-scrolling/,,  causing ghost elements unwanted debug scrolling css,0,0,0,0,NEWS
982,982,www.upwork.com,Upwork - Hire Freelancers & Get Freelance Jobs Online,Upwork is the world’s largest freelance talent marketplace. Our vision is to connect businesses with great talent faster than ever before., ,Get more done with freelancers Rob saved the day shipping code overnight Work with someone perfect for your team ,/hiring/development/what-is-json/,"Upwork, formerly Elance-oDesk, is a global freelancing platform where businesses and independent professionals connect and collaborate remotely. In 2015, Elance-oDesk was rebranded as Upwork. It is based in Mountain View and San Francisco, California.",  perfect world freelance upwork someone hire json connect code freelancers jobs marketplace online great rob largest talent development day done saved overnight get businesses ever vision faster team shipping hiring work,0,0,0,0,BUSINESS
983,983,barbaraambach.com, , , , ,/HTMLTutorials/02BoxModel/HTML.CSS.Basic%20Structure.pdf,,  pdf html htmltutorials basic css,0,0,0,0,NEWS
984,984,slytherjack.comxa.com, , , , ,"/font-awesome.min.css,/bootstrap-social.css",,  font social awesome min css bootstrap,0,0,0,0,PAAS
986,986,theme.nileforest.com, , , , ,"/html/apollo-v1.1/home-personal.html,/html/apollo-v1.1/home-personal.html]{http://theme.nileforest.com/html/apollo-v1.1/home-personal.html",,  apollo html theme com nileforest v1 personal http home,0,0,0,0,THEME
989,989,www.myhtmltutorials.com, , , , ,/jump.html,,  jump html,0,0,0,0,TRAINING
991,991,tangledindesign.com, , , , ,/how-to-create-a-contact-form-using-html5-css3-and-php/,,  contact form css3 html5 create using php,0,0,0,0,THEME
992,992,resizing.flixster.com, , , , ,/51TnLVTwaLev5WJKsOdxB_jb6Oo=/300x300/v1.bjsxMDU2MDM1O2o7MTcyNDc7MTIwMDsxMjgwOzcyMA,"Flixster is an American social movie site for discovering new movies, learning about movies, and meeting others with similar tastes in movies. The site allows users to view movie trailers as well as learn about the new and upcoming movies in the box office. The site is based in San Francisco, California and was founded by Joe Greenstein and Saran Chari in 2007. Flixster has been the parent of website Rotten Tomatoes since January 2010. Flixster, including Rotten Tomatoes, was acquired by Fandango on February 17, 2016.",  jb6oo v1 bjsxmdu2mdm1o2o7mtcyndc7mtiwmdsxmjgwozcyma,0,0,0,0,REPL
993,993,www.wmyl.se, , , , ,/en/blog/proportional-scaling-responsive-boxes-using-just-css/,,  blog proportional en using scaling css responsive boxes,0,0,0,0,BUSINESS
994,994,ffrkitalia.altervista.org, , , , ,/tribute/style.css,,  tribute style css,0,0,0,0,NEWS
995,995,fonts.gdgdocs.org,Error 404 (Not Found)!!1, , ,404. That’s an error. ,/css,,  found error css,0,0,0,0,THEME
996,996,coloreminder.com,Color Code - Coloreminder,"Get color code of any color.This color tool generates variations of colors, color palettes...", , Color Code color name ,/html-color-list,,  name html generates variations get list coloreminder code colors palettes tool color,0,0,0,0,REPL
997,997,pastebin.com,Pastebin.com - #1 paste tool since 2002!,Pastebin.com is the number one paste tool since 2002. Pastebin is a website where you can store text online for a set period of time., , ,/raw/z7VBAjsL,"Pastebin.com is a pastebin website. It was created in 2002, and reached 1 million active pastes (excluding spam and expired pastes) eight years later, in 2010. In February 2010, Pastebin.com was sold by the original owner, Paul Dixon, to Jeroen Vader, a Dutch serial Internet entrepreneur. A few weeks after the transfer, Vader launched a new version of the website which he branded V2.0. In early 2011, V3.0 was launched.",  website raw tool number paste online one com pastebin text since period store set time z7vbajsl,0,0,0,0,REPL
998,998,www.cssscripts.com, , , , ,,, ,0,0,0,0,NOCLASS
999,999,apps.workflower.fi, , , , ,/vocabs/css/en,,  css vocabs en,0,0,0,0,PACKAGE
1000,1000,css4-selectors.com, , , , ,/selectors/,,  selectors,0,0,0,0,THEME
1001,1001,flag-icon-css.lip.is, , , , ,/,"In the shell of gastropod mollusks (a snail shell), the lip is the free margin of the peristome (synonym: peritreme) or aperture (the opening) of the gastropod shell.", ,0,0,0,0,THEME
1002,1002,reference.sitepoint.com, , , , ,/css/casesensitivity,"SitePoint is a Melbourne, Australia-based website, and publisher of books, courses and articles for web developers. In January 2014, SitePoint.com had an Alexa ranking of 889, and a Quantcast rating of 14,934.",  casesensitivity css,0,0,0,0,NEWS
1003,1003,www.danstools.com, , , , ,/javascript-beautify/,,  javascript beautify,0,0,0,0,REPL
1004,1004,semantic, , , , ,/dist/semantic.min.css,"A semantic network, or frame network, is a network that represents semantic relations between concepts. This is often used as a form of knowledge representation. It is a directed or undirected graph consisting of vertices, which represent concepts, and edges, which represent semantic relations between concepts.",  semantic min css dist,0,0,0,0,NOCLASS
1005,1005,mashupguide.net, , , , ,/1.0/html/ch08s07.xhtml,,  ch08s07 html xhtml,0,0,0,0,TRAINING
1006,1006,csslint.net, , , , ,/,, ,0,0,0,0,REPL
